rating,thumbs_up,review_description,joy,positive,fear,negative,sadness,anticipation,disgust,anger,trust,surprise
5,0,"Still loving it!, the best!",1.0,1.0,,,,,,,,
5,0,Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.,1.0,2.0,,,,,,,,
5,0,"Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",,1.0,1.0,2.0,1.0,1.0,1.0,,,
5,0,Ok thank you,,,,,,,,,,
1,0,"switched phones and none of my passwords came over to new phone, very upset.",,,,1.0,1.0,,,1.0,,
4,1,I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.,,1.0,,,,1.0,,,,
5,0,"Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",4.0,7.0,1.0,,,1.0,,,4.0,
5,0,"Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",1.0,1.0,,,,,,,,
4,0,good app,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,Easy to use and great for storing passwords. Good security.,1.0,2.0,,,,2.0,,,1.0,1.0
5,0,Great,,,,,,,,,,
4,1,Only wish the app would autopilot and details visible without clicking on edit.,,,,,,,,,,
5,0,Gote,,,,,,,,,,
1,1,Still I Want An Update This Is Not A Safe App Without A Recovery For Password And Email Because Sometimes They Banned Me Without Any Better Reason,1.0,3.0,,1.0,,,,,1.0,
5,0,Good,1.0,1.0,,,,1.0,,,1.0,1.0
5,0,"Great app, been using ot for a few years now and never had any issues. East to use and easy to sync passwords to each device.",,,,,,,,,,
3,0,Good,1.0,1.0,,,,1.0,,,1.0,1.0
5,9,"I've been using this app for years, and I absolutely love it. I love that we can finally send a backup to another source, so I don't have to keep downloading it and adding my passwords every time I switch phones.",3.0,3.0,,,,2.0,1.0,,1.0,1.0
4,3,Easy to use. Great having to remember only one password. It needs to have more categories for easier queries.,,,,,,,,,,
5,0,Love your app😘😘😘😘,1.0,1.0,,,,,,,,
5,0,Faina aplicația. E simplă și are tot ce am nevoie. Imi place că pot sa pun icoane personalizate si ca am auto backup,,,,,,,,,,
5,0,Very good,1.0,1.0,,,,1.0,,,1.0,1.0
5,5,Great app. Nice to have: Copy and paste without edit or direct auto fill of password.,,,,1.0,,,,,1.0,
5,0,Love this application,1.0,1.0,,,,,,,,
1,1,I downloaded this app so I wouldn't have to guess and make up one!! The very first thing I have to do with this when I open it is MAKE UP A PASSWORD!!!,,,,,,,,,,1.0
5,0,Excellent,1.0,1.0,,,,,,,1.0,
5,5,"Been using for several years and I still love it!!! Easy to use, convenient, it's exactly what I needed one place to put all those irritating passwords that have to be changed every time I turn around. --- One app that hasn't changed in a long list of installs and uninstalled...this has stood the test of time.",1.0,2.0,2.0,,,4.0,,,,
5,2,"Hello, can you please tell me how to recover the login password...I am totally locked out as I cant login and access other passwords. Thanks great work.",,,,,,,,,,
5,1,"Easy, user friendly & what i like the most, backup files can be saved in various ways",2.0,2.0,,,,1.0,,,2.0,
5,0,Great for saving password,1.0,1.0,,,,,,,1.0,
3,10,The initial problem of downloading my backup has been resolved though had a few issues that I managed to sort So I wanted a paper print out as I want to review and change some passwords but what used to be a 6 page print out is now 28+ pages as the conversion to PDF includes all the tags several times over plus some other data it did not used to this happens on both phones so is not a phone issue. Otherwise I am impressed get this bug squashed and I will buy the full version.,,4.0,3.0,2.0,1.0,2.0,1.0,,1.0,
5,0,Super useful! Not a single complain at all.,,,,1.0,1.0,,,1.0,,
5,0,Great,,,,,,,,,,
5,0,Really useful,,,,,,,,,,
5,0,Fantastic!,,,,,,,,,,
5,0,"The update threw me for a loop, but otherwise this app is a lifesaver.",,,,,,,,,,
1,1,Do not install this app no support won't even respond to texts installed password option to manager pass it has locked me out after first time using that feature It seems I am stocked Writing this in hope someone sees it and maybe I get help Just discovered have no option to send this review,1.0,4.0,,,,4.0,,,1.0,1.0
4,0,I love this ap. All of my passwords in one place.,1.0,1.0,,,,,,,,
