"review_id","review_description","rating","thumbs_up","review_date","comment","tokenized_comment","SWR_comment","stemmed","lemmatized"
"81942ead-9d65-4b1a-8aa2-6e21ad5cf5e7","Still loving it!, the best!",5,0,NA,"still loving it the best","still, loving, it, the, best","still, loving, best","still, love, best","still, love, good"
"c08cf1e7-45e4-43a3-b86f-51f7809b80a3","Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.",5,0,NA,"convenient one stop app for all your passwords lock in with the app pw and update your other apps pws allows backup file to be created so that it can be used on your backup phone as well","convenient, one, stop, app, for, all, your, passwords, lock, in, with, the, app, pw, and, update, your, other, apps, pws, allows, backup, file, to, be, created, so, that, it, can, be, used, on, your, backup, phone, as, well","convenient, one, stop, app, passwords, lock, app, pw, update, apps, pws, allows, backup, file, created, can, used, backup, phone, well","conveni, on, stop, app, password, lock, app, pw, updat, app, pw, allow, backup, file, creat, can, us, backup, phone, well","convenient, one, stop, app, password, lock, app, pw, update, app, pws, allow, backup, file, create, can, use, backup, phone, good"
"c8937763-e1b4-43b1-9e48-cde58be80111","Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",5,0,NA,"tried several password managers until i came across this one it dies everything i need to store my passwords safely no complications like the big name managers i tried a bunch of those and they were a waste of tme and expensuve for most people this is all you need","tried, several, password, managers, until, i, came, across, this, one, it, dies, everything, i, need, to, store, my, passwords, safely, no, complications, like, the, big, name, managers, i, tried, a, bunch, of, those, and, they, were, a, waste, of, tme, and, expensuve, for, most, people, this, is, all, you, need","tried, several, password, managers, came, across, one, dies, everything, need, store, passwords, safely, complications, like, big, name, managers, tried, bunch, waste, tme, expensuve, people, need","tri, sever, password, manag, came, across, on, di, everyth, need, store, password, safe, complic, like, big, name, manag, tri, bunch, wast, tme, expensuv, peopl, need","try, several, password, manager, come, across, one, die, everything, need, store, password, safely, complication, like, big, name, manager, try, bunch, waste, tme, expensuve, people, need"
"762baf4b-9109-4b4b-a42f-2291b0486faf","Ok thank you",5,0,NA,"ok thank you","ok, thank, you","ok, thank","ok, thank","okay, thank"
"275a2d36-6d77-44ae-9d7b-8be6ad614e3f","switched phones and none of my passwords came over to new phone, very upset.",1,0,NA,"switched phones and none of my passwords came over to new phone very upset","switched, phones, and, none, of, my, passwords, came, over, to, new, phone, very, upset","switched, phones, none, passwords, came, new, phone, upset","switch, phone, none, password, came, new, phone, upset","switch, phone, none, password, come, new, phone, upset"
"b8a5df20-4fee-49c6-843b-3df705749740","I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.",4,1,NA,"i like the simplicity of this app it does what i want without complex steps stores basic details for all your user details in one place","i, like, the, simplicity, of, this, app, it, does, what, i, want, without, complex, steps, stores, basic, details, for, all, your, user, details, in, one, place","like, simplicity, app, want, without, complex, steps, stores, basic, details, user, details, one, place","like, simplic, app, want, without, complex, step, store, basic, detail, user, detail, on, place","like, simplicity, app, want, without, complex, step, store, basic, detail, user, detail, one, place"
"e59f8058-e305-45c4-aad9-c0c7c619d22a","Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",5,0,NA,"excellent secure and easy to use app please keep unlimited saves free watching ads are worth it and theres not too many of them another app which i was using now only lets you save  on free version only because it is made by a well known and more established cyber security company thats been around for decades on pc im assuming a few other more well known ones will be doing the same but this is just as secure as any of them love the thumbprint login feature too for quicker access","excellent, secure, and, easy, to, use, app, please, keep, unlimited, saves, free, watching, ads, are, worth, it, and, theres, not, too, many, of, them, another, app, which, i, was, using, now, only, lets, you, save, , on, free, version, only, because, it, is, made, by, a, well, known, and, more, established, cyber, security, company, thats, been, around, for, decades, on, pc, im, assuming, a, few, other, more, well, known, ones, will, be, doing, the, same, but, this, is, just, as, secure, as, any, of, them, love, the, thumbprint, login, feature, too, for, quicker, access","excellent, secure, easy, use, app, please, keep, unlimited, saves, free, watching, ads, worth, theres, many, another, app, using, now, lets, save, , free, version, made, well, known, established, cyber, security, company, thats, around, decades, pc, im, assuming, well, known, ones, will, just, secure, love, thumbprint, login, feature, quicker, access","excel, secur, easi, us, app, pleas, keep, unlimit, save, free, watch, ad, worth, there, mani, anoth, app, us, now, let, save, , free, version, made, well, known, establish, cyber, secur, compani, that, around, decad, pc, im, assum, well, known, on, will, just, secur, love, thumbprint, login, featur, quicker, access","excellent, secure, easy, use, app, please, keep, unlimited, save, free, watch, ad, worth, theres, many, another, app, use, now, let, save, , free, version, make, good, know, establish, cyber, security, company, thats, around, decade, pc, im, assume, good, know, one, will, just, secure, love, thumbprint, login, feature, quick, access"
"990b1855-5596-4d35-8280-067a4c529720","Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",5,0,NA,"love this app its simple secure and great especially so you can access your passwords even if youre away from wifi","love, this, app, its, simple, secure, and, great, especially, so, you, can, access, your, passwords, even, if, youre, away, from, wifi","love, app, simple, secure, great, especially, can, access, passwords, even, youre, away, wifi","love, app, simpl, secur, great, especi, can, access, password, even, your, awai, wifi","love, app, simple, secure, great, especially, can, access, password, even, youre, away, wifi"
"9c9153a8-32b2-4fc5-9d09-f5a29390840c","good app",4,0,NA,"good app","good, app","good, app","good, app","good, app"
"a565430f-7b7a-4151-9d85-a6f93dd8389f","Easy to use and great for storing passwords. Good security.",5,0,NA,"easy to use and great for storing passwords good security","easy, to, use, and, great, for, storing, passwords, good, security","easy, use, great, storing, passwords, good, security","easi, us, great, store, password, good, secur","easy, use, great, store, password, good, security"
