SleepDuration,SleepEfficiency,REMPercentage,DeepPercentage,HighEfficiency,ScreenUse
7.0,0.88,22.0,65.0,0,0
6.7,0.83,19.0,72.0,1,0
6.5,0.86,19.0,69.0,0,0
6.5,0.86,20.0,68.0,0,0
7.8,0.71,21.0,67.0,0,1
7.3,0.7,18.0,70.0,0,0
7.6,0.87,18.0,67.0,0,0
7.0,0.83,19.0,67.0,0,1
8.1,0.79,21.0,62.0,0,0
8.0,0.78,21.0,70.0,0,1
6.1,0.83,14.0,69.0,0,0
7.1,0.73,21.0,65.0,0,1
7.1,0.95,17.0,67.0,0,0
7.2,0.75,17.0,72.0,0,0
7.3,0.83,21.0,69.0,0,1
7.6,0.84,18.0,70.0,0,1
7.1,0.72,20.0,69.0,0,1
6.8,0.87,20.0,64.0,0,0
7.7,0.84,21.0,66.0,0,1
7.7,0.8,20.0,68.0,0,0
8.1,0.75,22.0,62.0,0,0
6.8,0.79,19.0,68.0,0,1
8.9,0.73,25.0,61.0,0,1
6.6,0.77,17.0,69.0,0,0
7.0,0.77,23.0,68.0,0,1
8.9,0.83,16.0,72.0,1,1
7.8,0.84,17.0,69.0,1,0
6.7,0.81,19.0,70.0,0,1
7.7,0.76,18.0,63.0,0,0
9.3,0.78,24.0,63.0,0,0
8.3,0.9,15.0,71.0,0,0
8.7,0.81,18.0,68.0,0,0
7.3,0.84,21.0,67.0,0,0
6.8,0.83,18.0,67.0,0,0
6.8,0.7,18.0,74.0,0,0
6.7,0.77,19.0,73.0,0,0
7.1,0.83,23.0,68.0,0,1
6.8,0.78,20.0,66.0,0,1
8.5,0.68,18.0,66.0,0,1
7.6,0.8,20.0,69.0,0,1
6.8,0.78,23.0,63.0,0,1
8.4,0.88,14.0,73.0,0,1
8.0,0.75,21.0,65.0,0,0
7.1,0.69,20.0,69.0,0,1
7.6,0.84,21.0,66.0,0,0
7.4,0.78,21.0,69.0,0,1
9.3,0.78,19.0,65.0,0,1
7.8,0.73,24.0,64.0,0,1
7.5,0.78,22.0,66.0,0,1
7.4,0.69,21.0,62.0,0,1
6.7,0.85,22.0,61.0,0,1
7.4,0.81,18.0,68.0,0,1
8.0,0.76,18.0,70.0,0,0
8.0,0.75,18.0,70.0,0,0
7.3,0.81,17.0,70.0,0,1
6.5,0.78,20.0,67.0,0,1
7.0,0.82,20.0,69.0,0,1
7.3,0.76,21.0,65.0,0,0
8.6,0.7,19.0,66.0,0,1
6.5,0.79,18.0,72.0,0,1
8.0,0.83,18.0,77.0,0,0
8.7,0.88,20.0,65.0,0,1
7.0,0.8,14.0,73.0,0,0
7.1,0.86,16.0,73.0,0,0
7.4,0.8,19.0,64.0,0,0
7.7,0.74,21.0,63.0,0,0
7.4,0.86,18.0,66.0,0,0
6.5,0.75,20.0,72.0,0,1
8.0,0.79,17.0,69.0,0,0
8.4,0.79,20.0,60.0,0,0
7.3,0.8,19.0,66.0,0,1
6.7,0.8,20.0,63.0,1,0
6.4,0.81,20.0,65.0,0,0
7.8,0.79,20.0,67.0,0,0
9.0,0.81,20.0,63.0,0,1
8.0,0.86,20.0,65.0,0,1
8.1,0.78,14.0,74.0,0,1
7.9,0.79,18.0,68.0,0,0
7.5,0.81,22.0,70.0,0,1
8.3,0.84,19.0,69.0,0,0
8.3,0.89,22.0,61.0,0,1
7.8,0.82,20.0,70.0,0,0
9.1,0.76,20.0,67.0,0,0
8.0,0.72,19.0,67.0,0,1
7.7,0.71,20.0,66.0,0,0
7.4,0.78,21.0,63.0,0,1
7.3,0.85,18.0,70.0,1,0
6.2,0.84,23.0,69.0,0,0
7.8,0.84,19.0,63.0,1,0
8.4,0.77,19.0,64.0,0,1
7.1,0.81,17.0,66.0,0,0
6.6,0.76,19.0,73.0,0,1
7.6,0.76,22.0,61.0,0,0
7.1,0.82,21.0,67.0,0,0
7.2,0.77,14.0,73.0,0,1
8.0,0.67,23.0,62.0,0,1
7.2,0.81,21.0,62.0,0,0
8.3,0.76,21.0,64.0,0,1
7.9,0.89,16.0,69.0,1,1
7.2,0.78,21.0,72.0,0,1
7.1,0.82,20.0,69.0,0,0
8.2,0.81,18.0,65.0,0,1
9.0,0.57,19.0,30.0,0,1
8.0,0.6,15.0,37.0,0,1
7.5,0.67,24.0,27.0,0,0
8.4,0.59,22.0,28.0,0,1
6.9,0.48,21.0,26.0,0,0
8.6,0.74,28.0,20.0,0,0
9.0,0.6,19.0,29.0,0,0
8.2,0.59,16.0,38.0,0,1
8.9,0.66,16.0,39.0,0,1
6.5,0.57,19.0,30.0,0,0
8.6,0.56,19.0,36.0,0,1
6.1,0.68,20.0,29.0,0,0
7.3,0.66,21.0,27.0,0,1
6.9,0.57,20.0,27.0,0,0
7.9,0.72,15.0,44.0,0,0
7.4,0.68,21.0,29.0,0,1
8.6,0.48,17.0,37.0,0,1
7.3,0.48,21.0,32.0,0,1
7.6,0.52,21.0,24.0,0,1
7.1,0.55,25.0,26.0,0,1
7.3,0.54,19.0,32.0,0,1
7.5,0.57,21.0,33.0,0,1
9.3,0.67,21.0,31.0,0,0
6.6,0.62,19.0,30.0,0,1
8.3,0.6,22.0,28.0,0,1
7.0,0.73,24.0,11.0,0,1
8.3,0.52,20.0,30.0,0,1
7.0,0.55,24.0,26.0,0,1
7.5,0.6,17.0,43.0,0,0
7.8,0.71,20.0,31.0,0,1
7.7,0.68,22.0,32.0,0,0
7.7,0.71,19.0,30.0,0,1
6.3,0.63,21.0,35.0,0,1
7.9,0.69,29.0,16.0,0,0
7.8,0.57,24.0,25.0,0,1
6.8,0.62,23.0,27.0,0,1
8.2,0.58,18.0,27.0,0,0
8.4,0.52,16.0,41.0,0,1
9.0,0.56,22.0,29.0,0,1
8.5,0.61,22.0,25.0,0,1
7.0,0.59,17.0,34.0,0,0
5.8,0.63,23.0,26.0,0,1
7.8,0.6,23.0,28.0,0,1
7.2,0.6,23.0,25.0,0,1
9.1,0.61,26.0,31.0,0,0
7.4,0.65,22.0,29.0,0,1
7.5,0.56,25.0,30.0,0,0
8.1,0.53,17.0,41.0,0,1
7.7,0.55,20.0,33.0,0,1
7.9,0.5,22.0,29.0,0,1
7.2,0.64,23.0,24.0,0,1
8.4,0.66,19.0,27.0,0,1
6.7,0.66,31.0,18.0,0,1
5.6,0.69,25.0,26.0,0,1
7.5,0.56,25.0,30.0,0,1
6.4,0.62,25.0,19.0,0,1
8.4,0.62,18.0,29.0,0,1
7.4,0.53,19.0,25.0,0,1
6.9,0.6,22.0,35.0,0,0
6.0,0.52,17.0,33.0,0,0
8.2,0.55,18.0,32.0,0,0
6.9,0.65,21.0,33.0,0,1
7.2,0.66,25.0,25.0,0,1
6.7,0.66,22.0,25.0,0,1
7.6,0.73,29.0,21.0,0,0
7.1,0.64,19.0,33.0,0,0
8.4,0.72,21.0,24.0,0,1
6.1,0.63,26.0,21.0,0,1
7.8,0.61,24.0,19.0,0,0
7.2,0.6,26.0,18.0,0,1
8.1,0.52,25.0,20.0,0,1
8.0,0.63,21.0,25.0,0,1
6.4,0.52,21.0,29.0,0,1
8.4,0.65,18.0,28.0,0,0
9.3,0.66,21.0,30.0,0,0
7.2,0.59,23.0,30.0,0,0
7.4,0.58,23.0,25.0,0,1
7.6,0.6,28.0,24.0,0,1
9.6,0.64,27.0,30.0,0,1
7.9,0.61,23.0,27.0,0,1
5.9,0.69,21.0,31.0,0,1
7.0,0.69,18.0,27.0,0,1
7.9,0.59,22.0,26.0,0,1
8.4,0.61,25.0,24.0,0,1
7.9,0.66,24.0,29.0,0,1
5.3,0.67,18.0,29.0,0,0
6.3,0.62,17.0,40.0,0,1
6.7,0.53,23.0,30.0,0,1
8.0,0.58,23.0,23.0,0,1
8.6,0.65,19.0,31.0,0,0
7.3,0.66,21.0,32.0,0,0
7.0,0.56,22.0,28.0,0,1
6.2,0.61,24.0,22.0,0,1
7.6,0.66,18.0,37.0,0,0
5.4,0.61,23.0,32.0,0,1
7.8,0.55,22.0,28.0,0,1
7.6,0.63,22.0,24.0,0,0
8.1,0.55,27.0,16.0,0,0
5.9,0.71,21.0,33.0,0,1
7.4,0.6,18.0,37.0,0,1
7.8,0.71,23.0,18.0,0,1
7.7,0.62,24.0,24.0,0,1
6.9,0.77,25.0,23.0,0,1
8.4,0.61,21.0,30.0,0,1
