rating,thumbs_up,review_description,neg,neu,pos,compound
5,0,"Still loving it!, the best!",0.0,0.323,0.677,0.6369
5,0,Convenient one stop app for all your passwords. Lock in with the app pw and update your other apps pws. Allows backup file to be created so that it can be used on your backup phone as well.,0.099,0.721,0.18,0.2023
5,0,"Tried several password managers until I came across this one. it dies everything I need to store my passwords safely. No complications like the big name managers. I tried a bunch of those, and they were a waste of tme. And expensuve. For most people, this is all you need.",0.201,0.629,0.171,-0.25
5,0,Ok thank you,0.0,1.0,0.0,0.0
1,0,"switched phones and none of my passwords came over to new phone, very upset.",0.0,1.0,0.0,0.0
4,1,I like the simplicity of this app. It does what I want without complex steps. Stores basic details for all your user details in one place.,0.0,0.909,0.091,0.0772
5,0,"Excellent, secure and easy to use app. Please keep unlimited saves free, watching ads are worth it and there's not too many of them. Another app which I was using now only lets you save 5 on free version, ONLY because it is made by a well known and more established cyber security company that's been around for decades on PC. I'm assuming a few other more well known ones will be doing the same but this is just as secure as any of them. Love the thumbprint login feature too for quicker access.",0.0,0.473,0.527,0.9858
5,0,"Love this App. It's simple, secure, and great especially so you can access your Password's even if you're away from Wifi.",0.0,0.606,0.394,0.7579
4,0,good app,0.0,1.0,0.0,0.0
5,0,Easy to use and great for storing passwords. Good security.,0.0,0.417,0.583,0.7906
5,0,Great,0.0,1.0,0.0,0.0
4,1,Only wish the app would autopilot and details visible without clicking on edit.,0.0,1.0,0.0,0.0
5,0,Gote,0.0,1.0,0.0,0.0
1,1,Still I Want An Update This Is Not A Safe App Without A Recovery For Password And Email Because Sometimes They Banned Me Without Any Better Reason,0.297,0.495,0.208,-0.4226
5,0,Good,0.0,1.0,0.0,0.0
5,0,"Great app, been using ot for a few years now and never had any issues. East to use and easy to sync passwords to each device.",0.0,0.805,0.195,0.4404
3,0,Good,0.0,1.0,0.0,0.0
5,9,"I've been using this app for years, and I absolutely love it. I love that we can finally send a backup to another source, so I don't have to keep downloading it and adding my passwords every time I switch phones.",0.0,0.679,0.321,0.8746
4,3,Easy to use. Great having to remember only one password. It needs to have more categories for easier queries.,0.0,0.537,0.463,0.7845
5,0,Love your app😘😘😘😘,0.0,1.0,0.0,0.0
